protocol_version,protocol_sha256,config_sha256,code_commit,phase,session,status,geometry,object,stage,observed_median,ci_low,ci_high,replicates,discovery_confirmatory_effect_delta_median,discovery_confirmatory_effect_delta_ci_low,discovery_confirmatory_effect_delta_ci_high,airm_minus_le_effect_delta_median,airm_minus_le_effect_delta_ci_low,airm_minus_le_effect_delta_ci_high
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,0.9957063448666952,0.9832038731808237,0.9996158857771025,20000,0.006355117846075564,-0.0016817220825445789,0.015524024126649771,-0.0032166569562194214,-0.005340280359024563,0.0016263769205439038
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,S,0.9679464229942034,0.9576635158801632,0.9922719646590601,20000,0.007510817295943717,-0.012318428151573468,0.021548160493404023,-0.0043377198689443786,-0.005555437992847079,0.0006483363940684717
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,R,0.9730239362285069,0.8945927194700772,0.9984944174758994,20000,0.028001025475158925,-0.01756905890592797,0.12072696923640991,-0.02859858330284737,-0.03636221698189601,0.0218980093965484
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,S,0.8539307749567935,0.7686541997584051,0.9349501273085833,20000,0.07782988949436775,-0.11424592327037986,0.1274492352396852,-0.021315251416799907,-0.028333058252043797,0.003366156433088685
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,D,R,0.994121697631731,0.9790659403714895,0.9996472735175135,20000,0.0070895189797043345,-0.0036581403991300387,0.018601389052822714,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,D,S,0.962312038621508,0.9516602822306918,0.9906328414290608,20000,0.008568999404902522,-0.015413064579983593,0.02686371849148339,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,G,R,0.9662802849304561,0.8470001636323549,0.9988123761668075,20000,0.039775953343604176,-0.02152392111162782,0.12929362489010532,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,G,S,0.8530876461214919,0.7467256391929504,0.9344812367918727,20000,0.09384570039650608,-0.12473863062373614,0.13745368910510358,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,P,0.9130434782608695,0.6086956521739131,0.9565217391304348,20000,-0.04347826086956519,-0.08695652173913038,0.0434782608695653,0.0,-0.08695652173913038,0.0434782608695653
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,P,0.9130434782608695,0.6086956521739131,0.9565217391304348,20000,-0.04347826086956519,-0.08695652173913049,0.0,0.0,-0.13043478260869557,0.0
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,D,P,0.9130434782608695,0.6956521739130435,0.9565217391304348,20000,-0.04347826086956519,-0.08695652173913049,0.04347826086956519,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,G,P,0.9130434782608695,0.7391304347826086,0.9565217391304348,20000,-0.04347826086956519,-0.08695652173913049,0.0,,,
