scope,half,subject,session,class,temporal_position,maximum_absolute_difference,exact_match
Split,A,4,1test,right_hand,2,0.0,True
Split,A,4,1test,right_hand,3,0.0,True
Split,A,4,1test,right_hand,4,0.0,True
Split,A,4,1test,right_hand,5,0.0,True
Split,A,4,1test,feet,1,0.0,True
Split,A,4,1test,feet,2,0.0,True
Split,A,4,1test,feet,3,0.0,True
Split,A,4,1test,feet,4,0.0,True
Split,A,4,1test,feet,5,0.0,True
Split,A,4,1test,tongue,1,0.0,True
Split,A,4,1test,tongue,2,0.0,True
Split,A,4,1test,tongue,3,0.0,True
Split,A,4,1test,tongue,4,0.0,True
Split,A,4,1test,tongue,5,0.0,True
Split,A,5,1test,left_hand,1,0.0,True
Split,A,5,1test,left_hand,2,0.0,True
Split,A,5,1test,left_hand,3,0.0,True
Split,A,5,1test,left_hand,4,0.0,True
Split,A,5,1test,left_hand,5,0.0,True
Split,A,5,1test,right_hand,1,0.0,True
Split,A,5,1test,right_hand,2,0.0,True
Split,A,5,1test,right_hand,3,0.0,True
Split,A,5,1test,right_hand,4,0.0,True
Split,A,5,1test,right_hand,5,0.0,True
Split,A,5,1test,feet,1,0.0,True
Split,A,5,1test,feet,2,0.0,True
Split,A,5,1test,feet,3,0.0,True
Split,A,5,1test,feet,4,0.0,True
Split,A,5,1test,feet,5,0.0,True
Split,A,5,1test,tongue,1,0.0,True
Split,A,5,1test,tongue,2,0.0,True
Split,A,5,1test,tongue,3,0.0,True
Split,A,5,1test,tongue,4,0.0,True
Split,A,5,1test,tongue,5,0.0,True
Split,A,6,1test,left_hand,1,0.0,True
Split,A,6,1test,left_hand,2,0.0,True
Split,A,6,1test,left_hand,3,0.0,True
Split,A,6,1test,left_hand,4,0.0,True
Split,A,6,1test,left_hand,5,0.0,True
Split,A,6,1test,right_hand,1,0.0,True
Split,A,6,1test,right_hand,2,0.0,True
Split,A,6,1test,right_hand,3,0.0,True
Split,A,6,1test,right_hand,4,0.0,True
Split,A,6,1test,right_hand,5,0.0,True
Split,A,6,1test,feet,1,0.0,True
Split,A,6,1test,feet,2,0.0,True
Split,A,6,1test,feet,3,0.0,True
Split,A,6,1test,feet,4,0.0,True
Split,A,6,1test,feet,5,0.0,True
Split,A,6,1test,tongue,1,0.0,True
Split,A,6,1test,tongue,2,0.0,True
Split,A,6,1test,tongue,3,0.0,True
Split,A,6,1test,tongue,4,0.0,True
Split,A,6,1test,tongue,5,0.0,True
Split,A,7,1test,left_hand,1,0.0,True
Split,A,7,1test,left_hand,2,0.0,True
Split,A,7,1test,left_hand,3,0.0,True
Split,A,7,1test,left_hand,4,0.0,True
Split,A,7,1test,left_hand,5,0.0,True
Split,A,7,1test,right_hand,1,0.0,True
Split,A,7,1test,right_hand,2,0.0,True
Split,A,7,1test,right_hand,3,0.0,True
Split,A,7,1test,right_hand,4,0.0,True
Split,A,7,1test,right_hand,5,0.0,True
Split,A,7,1test,feet,1,0.0,True
Split,A,7,1test,feet,2,0.0,True
Split,A,7,1test,feet,3,0.0,True
Split,A,7,1test,feet,4,0.0,True
Split,A,7,1test,feet,5,0.0,True
Split,A,7,1test,tongue,1,0.0,True
Split,A,7,1test,tongue,2,0.0,True
Split,A,7,1test,tongue,3,0.0,True
Split,A,7,1test,tongue,4,0.0,True
Split,A,7,1test,tongue,5,0.0,True
Split,A,8,1test,left_hand,1,0.0,True
Split,A,8,1test,left_hand,2,0.0,True
Split,A,8,1test,left_hand,3,0.0,True
Split,A,8,1test,left_hand,4,0.0,True
Split,A,8,1test,left_hand,5,0.0,True
Split,A,8,1test,right_hand,1,0.0,True
Split,A,8,1test,right_hand,2,0.0,True
Split,A,8,1test,right_hand,3,0.0,True
Split,A,8,1test,right_hand,4,0.0,True
Split,A,8,1test,right_hand,5,0.0,True
Split,A,8,1test,feet,1,0.0,True
Split,A,8,1test,feet,2,0.0,True
Split,A,8,1test,feet,3,0.0,True
Split,A,8,1test,feet,4,0.0,True
Split,A,8,1test,feet,5,0.0,True
Split,A,8,1test,tongue,1,0.0,True
Split,A,8,1test,tongue,2,0.0,True
Split,A,8,1test,tongue,3,0.0,True
Split,A,8,1test,tongue,4,0.0,True
Split,A,8,1test,tongue,5,0.0,True
Split,A,9,1test,left_hand,1,0.0,True
Split,A,9,1test,left_hand,2,0.0,True
Split,A,9,1test,left_hand,3,0.0,True
Split,A,9,1test,left_hand,4,0.0,True
Split,A,9,1test,left_hand,5,0.0,True
Split,A,9,1test,right_hand,1,0.0,True
Split,A,9,1test,right_hand,2,0.0,True
Split,A,9,1test,right_hand,3,0.0,True
Split,A,9,1test,right_hand,4,0.0,True
Split,A,9,1test,right_hand,5,0.0,True
Split,A,9,1test,feet,1,0.0,True
Split,A,9,1test,feet,2,0.0,True
Split,A,9,1test,feet,3,0.0,True
Split,A,9,1test,feet,4,0.0,True
Split,A,9,1test,feet,5,0.0,True
Split,A,9,1test,tongue,1,0.0,True
Split,A,9,1test,tongue,2,0.0,True
Split,A,9,1test,tongue,3,0.0,True
Split,A,9,1test,tongue,4,0.0,True
Split,A,9,1test,tongue,5,0.0,True
Split,B,1,0train,left_hand,1,0.0,True
Split,B,1,0train,left_hand,2,0.0,True
Split,B,1,0train,left_hand,3,0.0,True
Split,B,1,0train,left_hand,4,0.0,True
Split,B,1,0train,left_hand,5,0.0,True
Split,B,1,0train,right_hand,1,0.0,True
Split,B,1,0train,right_hand,2,0.0,True
Split,B,1,0train,right_hand,3,0.0,True
Split,B,1,0train,right_hand,4,0.0,True
Split,B,1,0train,right_hand,5,0.0,True
Split,B,1,0train,feet,1,0.0,True
Split,B,1,0train,feet,2,0.0,True
Split,B,1,0train,feet,3,0.0,True
Split,B,1,0train,feet,4,0.0,True
Split,B,1,0train,feet,5,0.0,True
Split,B,1,0train,tongue,1,0.0,True
Split,B,1,0train,tongue,2,0.0,True
Split,B,1,0train,tongue,3,0.0,True
Split,B,1,0train,tongue,4,0.0,True
Split,B,1,0train,tongue,5,0.0,True
Split,B,2,0train,left_hand,1,0.0,True
Split,B,2,0train,left_hand,2,0.0,True
Split,B,2,0train,left_hand,3,0.0,True
Split,B,2,0train,left_hand,4,0.0,True
Split,B,2,0train,left_hand,5,0.0,True
Split,B,2,0train,right_hand,1,0.0,True
Split,B,2,0train,right_hand,2,0.0,True
Split,B,2,0train,right_hand,3,0.0,True
Split,B,2,0train,right_hand,4,0.0,True
Split,B,2,0train,right_hand,5,0.0,True
Split,B,2,0train,feet,1,0.0,True
Split,B,2,0train,feet,2,0.0,True
Split,B,2,0train,feet,3,0.0,True
Split,B,2,0train,feet,4,0.0,True
Split,B,2,0train,feet,5,0.0,True
Split,B,2,0train,tongue,1,0.0,True
Split,B,2,0train,tongue,2,0.0,True
Split,B,2,0train,tongue,3,0.0,True
Split,B,2,0train,tongue,4,0.0,True
Split,B,2,0train,tongue,5,0.0,True
Split,B,3,0train,left_hand,1,0.0,True
Split,B,3,0train,left_hand,2,0.0,True
Split,B,3,0train,left_hand,3,0.0,True
Split,B,3,0train,left_hand,4,0.0,True
Split,B,3,0train,left_hand,5,0.0,True
Split,B,3,0train,right_hand,1,0.0,True
Split,B,3,0train,right_hand,2,0.0,True
Split,B,3,0train,right_hand,3,0.0,True
Split,B,3,0train,right_hand,4,0.0,True
Split,B,3,0train,right_hand,5,0.0,True
Split,B,3,0train,feet,1,0.0,True
Split,B,3,0train,feet,2,0.0,True
Split,B,3,0train,feet,3,0.0,True
Split,B,3,0train,feet,4,0.0,True
Split,B,3,0train,feet,5,0.0,True
Split,B,3,0train,tongue,1,0.0,True
Split,B,3,0train,tongue,2,0.0,True
Split,B,3,0train,tongue,3,0.0,True
Split,B,3,0train,tongue,4,0.0,True
Split,B,3,0train,tongue,5,0.0,True
Split,B,4,0train,left_hand,1,0.0,True
Split,B,4,0train,left_hand,2,0.0,True
Split,B,4,0train,left_hand,3,0.0,True
Split,B,4,0train,left_hand,4,0.0,True
Split,B,4,0train,left_hand,5,0.0,True
Split,B,4,0train,right_hand,1,0.0,True
Split,B,4,0train,right_hand,2,0.0,True
Split,B,4,0train,right_hand,3,0.0,True
Split,B,4,0train,right_hand,4,0.0,True
Split,B,4,0train,right_hand,5,0.0,True
Split,B,4,0train,feet,1,0.0,True
Split,B,4,0train,feet,2,0.0,True
Split,B,4,0train,feet,3,0.0,True
Split,B,4,0train,feet,4,0.0,True
Split,B,4,0train,feet,5,0.0,True
Split,B,4,0train,tongue,1,0.0,True
Split,B,4,0train,tongue,2,0.0,True
Split,B,4,0train,tongue,3,0.0,True
Split,B,4,0train,tongue,4,0.0,True
Split,B,4,0train,tongue,5,0.0,True
Split,B,5,0train,left_hand,1,0.0,True
Split,B,5,0train,left_hand,2,0.0,True
Split,B,5,0train,left_hand,3,0.0,True
Split,B,5,0train,left_hand,4,0.0,True
Split,B,5,0train,left_hand,5,0.0,True
Split,B,5,0train,right_hand,1,0.0,True
Split,B,5,0train,right_hand,2,0.0,True
Split,B,5,0train,right_hand,3,0.0,True
Split,B,5,0train,right_hand,4,0.0,True
Split,B,5,0train,right_hand,5,0.0,True
Split,B,5,0train,feet,1,0.0,True
Split,B,5,0train,feet,2,0.0,True
Split,B,5,0train,feet,3,0.0,True
Split,B,5,0train,feet,4,0.0,True
Split,B,5,0train,feet,5,0.0,True
Split,B,5,0train,tongue,1,0.0,True
Split,B,5,0train,tongue,2,0.0,True
Split,B,5,0train,tongue,3,0.0,True
Split,B,5,0train,tongue,4,0.0,True
Split,B,5,0train,tongue,5,0.0,True
Split,B,6,0train,left_hand,1,0.0,True
Split,B,6,0train,left_hand,2,0.0,True
Split,B,6,0train,left_hand,3,0.0,True
Split,B,6,0train,left_hand,4,0.0,True
Split,B,6,0train,left_hand,5,0.0,True
Split,B,6,0train,right_hand,1,0.0,True
Split,B,6,0train,right_hand,2,0.0,True
Split,B,6,0train,right_hand,3,0.0,True
Split,B,6,0train,right_hand,4,0.0,True
Split,B,6,0train,right_hand,5,0.0,True
Split,B,6,0train,feet,1,0.0,True
Split,B,6,0train,feet,2,0.0,True
Split,B,6,0train,feet,3,0.0,True
Split,B,6,0train,feet,4,0.0,True
Split,B,6,0train,feet,5,0.0,True
Split,B,6,0train,tongue,1,0.0,True
Split,B,6,0train,tongue,2,0.0,True
Split,B,6,0train,tongue,3,0.0,True
Split,B,6,0train,tongue,4,0.0,True
Split,B,6,0train,tongue,5,0.0,True
Split,B,7,0train,left_hand,1,0.0,True
Split,B,7,0train,left_hand,2,0.0,True
Split,B,7,0train,left_hand,3,0.0,True
Split,B,7,0train,left_hand,4,0.0,True
Split,B,7,0train,left_hand,5,0.0,True
Split,B,7,0train,right_hand,1,0.0,True
Split,B,7,0train,right_hand,2,0.0,True
Split,B,7,0train,right_hand,3,0.0,True
Split,B,7,0train,right_hand,4,0.0,True
Split,B,7,0train,right_hand,5,0.0,True
Split,B,7,0train,feet,1,0.0,True
Split,B,7,0train,feet,2,0.0,True
Split,B,7,0train,feet,3,0.0,True
Split,B,7,0train,feet,4,0.0,True
Split,B,7,0train,feet,5,0.0,True
Split,B,7,0train,tongue,1,0.0,True
Split,B,7,0train,tongue,2,0.0,True
Split,B,7,0train,tongue,3,0.0,True
Split,B,7,0train,tongue,4,0.0,True
Split,B,7,0train,tongue,5,0.0,True
Split,B,8,0train,left_hand,1,0.0,True
Split,B,8,0train,left_hand,2,0.0,True
Split,B,8,0train,left_hand,3,0.0,True
Split,B,8,0train,left_hand,4,0.0,True
Split,B,8,0train,left_hand,5,0.0,True
Split,B,8,0train,right_hand,1,0.0,True
Split,B,8,0train,right_hand,2,0.0,True
Split,B,8,0train,right_hand,3,0.0,True
Split,B,8,0train,right_hand,4,0.0,True
Split,B,8,0train,right_hand,5,0.0,True
Split,B,8,0train,feet,1,0.0,True
Split,B,8,0train,feet,2,0.0,True
Split,B,8,0train,feet,3,0.0,True
Split,B,8,0train,feet,4,0.0,True
Split,B,8,0train,feet,5,0.0,True
Split,B,8,0train,tongue,1,0.0,True
Split,B,8,0train,tongue,2,0.0,True
Split,B,8,0train,tongue,3,0.0,True
Split,B,8,0train,tongue,4,0.0,True
Split,B,8,0train,tongue,5,0.0,True
Split,B,9,0train,left_hand,1,0.0,True
Split,B,9,0train,left_hand,2,0.0,True
Split,B,9,0train,left_hand,3,0.0,True
Split,B,9,0train,left_hand,4,0.0,True
Split,B,9,0train,left_hand,5,0.0,True
Split,B,9,0train,right_hand,1,0.0,True
Split,B,9,0train,right_hand,2,0.0,True
Split,B,9,0train,right_hand,3,0.0,True
Split,B,9,0train,right_hand,4,0.0,True
Split,B,9,0train,right_hand,5,0.0,True
Split,B,9,0train,feet,1,0.0,True
Split,B,9,0train,feet,2,0.0,True
Split,B,9,0train,feet,3,0.0,True
Split,B,9,0train,feet,4,0.0,True
Split,B,9,0train,feet,5,0.0,True
Split,B,9,0train,tongue,1,0.0,True
Split,B,9,0train,tongue,2,0.0,True
Split,B,9,0train,tongue,3,0.0,True
Split,B,9,0train,tongue,4,0.0,True
Split,B,9,0train,tongue,5,0.0,True
Split,B,1,1test,left_hand,1,0.0,True
Split,B,1,1test,left_hand,2,0.0,True
Split,B,1,1test,left_hand,3,0.0,True
Split,B,1,1test,left_hand,4,0.0,True
Split,B,1,1test,left_hand,5,0.0,True
Split,B,1,1test,right_hand,1,0.0,True
Split,B,1,1test,right_hand,2,0.0,True
Split,B,1,1test,right_hand,3,0.0,True
Split,B,1,1test,right_hand,4,0.0,True
Split,B,1,1test,right_hand,5,0.0,True
Split,B,1,1test,feet,1,0.0,True
Split,B,1,1test,feet,2,0.0,True
Split,B,1,1test,feet,3,0.0,True
Split,B,1,1test,feet,4,0.0,True
Split,B,1,1test,feet,5,0.0,True
Split,B,1,1test,tongue,1,0.0,True
Split,B,1,1test,tongue,2,0.0,True
Split,B,1,1test,tongue,3,0.0,True
Split,B,1,1test,tongue,4,0.0,True
Split,B,1,1test,tongue,5,0.0,True
Split,B,2,1test,left_hand,1,0.0,True
Split,B,2,1test,left_hand,2,0.0,True
Split,B,2,1test,left_hand,3,0.0,True
Split,B,2,1test,left_hand,4,0.0,True
Split,B,2,1test,left_hand,5,0.0,True
Split,B,2,1test,right_hand,1,0.0,True
Split,B,2,1test,right_hand,2,0.0,True
Split,B,2,1test,right_hand,3,0.0,True
Split,B,2,1test,right_hand,4,0.0,True
Split,B,2,1test,right_hand,5,0.0,True
Split,B,2,1test,feet,1,0.0,True
Split,B,2,1test,feet,2,0.0,True
Split,B,2,1test,feet,3,0.0,True
Split,B,2,1test,feet,4,0.0,True
Split,B,2,1test,feet,5,0.0,True
Split,B,2,1test,tongue,1,0.0,True
Split,B,2,1test,tongue,2,0.0,True
Split,B,2,1test,tongue,3,0.0,True
Split,B,2,1test,tongue,4,0.0,True
Split,B,2,1test,tongue,5,0.0,True
Split,B,3,1test,left_hand,1,0.0,True
Split,B,3,1test,left_hand,2,0.0,True
Split,B,3,1test,left_hand,3,0.0,True
Split,B,3,1test,left_hand,4,0.0,True
Split,B,3,1test,left_hand,5,0.0,True
Split,B,3,1test,right_hand,1,0.0,True
Split,B,3,1test,right_hand,2,0.0,True
Split,B,3,1test,right_hand,3,0.0,True
Split,B,3,1test,right_hand,4,0.0,True
Split,B,3,1test,right_hand,5,0.0,True
Split,B,3,1test,feet,1,0.0,True
Split,B,3,1test,feet,2,0.0,True
Split,B,3,1test,feet,3,0.0,True
Split,B,3,1test,feet,4,0.0,True
Split,B,3,1test,feet,5,0.0,True
Split,B,3,1test,tongue,1,0.0,True
Split,B,3,1test,tongue,2,0.0,True
Split,B,3,1test,tongue,3,0.0,True
Split,B,3,1test,tongue,4,0.0,True
Split,B,3,1test,tongue,5,0.0,True
Split,B,4,1test,left_hand,1,0.0,True
Split,B,4,1test,left_hand,2,0.0,True
Split,B,4,1test,left_hand,3,0.0,True
Split,B,4,1test,left_hand,4,0.0,True
Split,B,4,1test,left_hand,5,0.0,True
Split,B,4,1test,right_hand,1,0.0,True
Split,B,4,1test,right_hand,2,0.0,True
Split,B,4,1test,right_hand,3,0.0,True
Split,B,4,1test,right_hand,4,0.0,True
Split,B,4,1test,right_hand,5,0.0,True
Split,B,4,1test,feet,1,0.0,True
Split,B,4,1test,feet,2,0.0,True
Split,B,4,1test,feet,3,0.0,True
Split,B,4,1test,feet,4,0.0,True
Split,B,4,1test,feet,5,0.0,True
Split,B,4,1test,tongue,1,0.0,True
Split,B,4,1test,tongue,2,0.0,True
Split,B,4,1test,tongue,3,0.0,True
Split,B,4,1test,tongue,4,0.0,True
Split,B,4,1test,tongue,5,0.0,True
Split,B,5,1test,left_hand,1,0.0,True
Split,B,5,1test,left_hand,2,0.0,True
Split,B,5,1test,left_hand,3,0.0,True
Split,B,5,1test,left_hand,4,0.0,True
Split,B,5,1test,left_hand,5,0.0,True
Split,B,5,1test,right_hand,1,0.0,True
Split,B,5,1test,right_hand,2,0.0,True
Split,B,5,1test,right_hand,3,0.0,True
Split,B,5,1test,right_hand,4,0.0,True
Split,B,5,1test,right_hand,5,0.0,True
Split,B,5,1test,feet,1,0.0,True
Split,B,5,1test,feet,2,0.0,True
Split,B,5,1test,feet,3,0.0,True
Split,B,5,1test,feet,4,0.0,True
Split,B,5,1test,feet,5,0.0,True
Split,B,5,1test,tongue,1,0.0,True
Split,B,5,1test,tongue,2,0.0,True
Split,B,5,1test,tongue,3,0.0,True
Split,B,5,1test,tongue,4,0.0,True
Split,B,5,1test,tongue,5,0.0,True
Split,B,6,1test,left_hand,1,0.0,True
Split,B,6,1test,left_hand,2,0.0,True
Split,B,6,1test,left_hand,3,0.0,True
Split,B,6,1test,left_hand,4,0.0,True
Split,B,6,1test,left_hand,5,0.0,True
Split,B,6,1test,right_hand,1,0.0,True
Split,B,6,1test,right_hand,2,0.0,True
Split,B,6,1test,right_hand,3,0.0,True
Split,B,6,1test,right_hand,4,0.0,True
Split,B,6,1test,right_hand,5,0.0,True
Split,B,6,1test,feet,1,0.0,True
Split,B,6,1test,feet,2,0.0,True
Split,B,6,1test,feet,3,0.0,True
Split,B,6,1test,feet,4,0.0,True
Split,B,6,1test,feet,5,0.0,True
Split,B,6,1test,tongue,1,0.0,True
Split,B,6,1test,tongue,2,0.0,True
Split,B,6,1test,tongue,3,0.0,True
Split,B,6,1test,tongue,4,0.0,True
Split,B,6,1test,tongue,5,0.0,True
Split,B,7,1test,left_hand,1,0.0,True
Split,B,7,1test,left_hand,2,0.0,True
Split,B,7,1test,left_hand,3,0.0,True
Split,B,7,1test,left_hand,4,0.0,True
Split,B,7,1test,left_hand,5,0.0,True
Split,B,7,1test,right_hand,1,0.0,True
Split,B,7,1test,right_hand,2,0.0,True
Split,B,7,1test,right_hand,3,0.0,True
Split,B,7,1test,right_hand,4,0.0,True
Split,B,7,1test,right_hand,5,0.0,True
Split,B,7,1test,feet,1,0.0,True
Split,B,7,1test,feet,2,0.0,True
Split,B,7,1test,feet,3,0.0,True
Split,B,7,1test,feet,4,0.0,True
Split,B,7,1test,feet,5,0.0,True
Split,B,7,1test,tongue,1,0.0,True
Split,B,7,1test,tongue,2,0.0,True
Split,B,7,1test,tongue,3,0.0,True
Split,B,7,1test,tongue,4,0.0,True
Split,B,7,1test,tongue,5,0.0,True
Split,B,8,1test,left_hand,1,0.0,True
Split,B,8,1test,left_hand,2,0.0,True
Split,B,8,1test,left_hand,3,0.0,True
Split,B,8,1test,left_hand,4,0.0,True
Split,B,8,1test,left_hand,5,0.0,True
Split,B,8,1test,right_hand,1,0.0,True
Split,B,8,1test,right_hand,2,0.0,True
Split,B,8,1test,right_hand,3,0.0,True
Split,B,8,1test,right_hand,4,0.0,True
Split,B,8,1test,right_hand,5,0.0,True
Split,B,8,1test,feet,1,0.0,True
Split,B,8,1test,feet,2,0.0,True
Split,B,8,1test,feet,3,0.0,True
Split,B,8,1test,feet,4,0.0,True
Split,B,8,1test,feet,5,0.0,True
Split,B,8,1test,tongue,1,0.0,True
Split,B,8,1test,tongue,2,0.0,True
Split,B,8,1test,tongue,3,0.0,True
Split,B,8,1test,tongue,4,0.0,True
Split,B,8,1test,tongue,5,0.0,True
Split,B,9,1test,left_hand,1,0.0,True
Split,B,9,1test,left_hand,2,0.0,True
Split,B,9,1test,left_hand,3,0.0,True
Split,B,9,1test,left_hand,4,0.0,True
Split,B,9,1test,left_hand,5,0.0,True
Split,B,9,1test,right_hand,1,0.0,True
Split,B,9,1test,right_hand,2,0.0,True
Split,B,9,1test,right_hand,3,0.0,True
Split,B,9,1test,right_hand,4,0.0,True
Split,B,9,1test,right_hand,5,0.0,True
Split,B,9,1test,feet,1,0.0,True
Split,B,9,1test,feet,2,0.0,True
Split,B,9,1test,feet,3,0.0,True
Split,B,9,1test,feet,4,0.0,True
Split,B,9,1test,feet,5,0.0,True
Split,B,9,1test,tongue,1,0.0,True
Split,B,9,1test,tongue,2,0.0,True
Split,B,9,1test,tongue,3,0.0,True
Split,B,9,1test,tongue,4,0.0,True
Split,B,9,1test,tongue,5,0.0,True
