protocol_version,protocol_sha256,config_sha256,code_commit,phase,session,status,geometry,object,stage,subject,influence,subject_score,subject_effect,discovery_subject_effect,confirmatory_subject_effect,discovery_confirmatory_effect_delta,airm_minus_le_subject_effect_delta,row_type,observed_median,ci_low,ci_high,replicates,discovery_confirmatory_effect_delta_median,discovery_confirmatory_effect_delta_ci_low,discovery_confirmatory_effect_delta_ci_high,airm_minus_le_effect_delta_median,airm_minus_le_effect_delta_ci_low,airm_minus_le_effect_delta_ci_high
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,1.0,-0.0036091090675569593,0.9957099384055439,0.013684564834955726,0.013684564834955726,,,-0.0034816043303704802,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,2.0,-0.0036091090675569593,0.9942309160224803,0.0014672931846332338,0.0014672931846332338,,,-0.0009919649045559975,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,3.0,-0.0036091090675569593,0.9956523866655529,0.01321219065307866,0.01321219065307866,,,-0.004513034377943481,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,4.0,0.0009888163615129342,0.9796138406619666,-0.012887611369931884,-0.012887611369931884,,,0.003645342269127161,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,5.0,0.0009888163615129342,0.9842552034879096,-0.007701613095940973,-0.007701613095940973,,,-0.00017282251500982948,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,6.0,0.0009888163615129342,0.9812945948753803,-0.008822190417874132,-0.008822190417874132,,,-0.002750571791275136,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,7.0,-0.0036091090675569593,0.9978880695326475,0.00627546825021974,0.00627546825021974,,,-0.0011354125789957425,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,8.0,-0.002620292706044025,0.9922532832994543,0.003839725625974455,0.003839725625974455,,,-0.0028818837975489453,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,9.0,0.0009888163615129342,0.9850350651643404,-0.0009682107761894709,-0.0009682107761894709,,,-0.004917759783413356,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,S,1.0,0.002969441088850333,0.9646996154656344,0.03194789149727928,0.03194789149727928,,,-0.0035017622925815894,subject,,,,,,,,,,
