protocol_version,protocol_sha256,config_sha256,code_commit,phase,session,status,geometry,object,stage,subject,observed,null_median,effect,null_percentile,replicates
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,1,0.9957099384055439,0.9820253735705882,0.013684564834955726,0.9305,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,2,0.9942309160224803,0.992763622837847,0.0014672931846332338,0.6135,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,3,0.9956523866655529,0.9824401960124742,0.01321219065307866,0.9295,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,4,0.9796138406619666,0.9925014520318984,-0.012887611369931884,0.069,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,5,0.9842552034879096,0.9919568165838506,-0.007701613095940973,0.1775,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,6,0.9812945948753803,0.9901167852932544,-0.008822190417874132,0.2005,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,7,0.9978880695326475,0.9916126012824278,0.00627546825021974,0.942,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,8,0.9922532832994543,0.9884135576734798,0.003839725625974455,0.673,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,R,9,0.9850350651643404,0.9860032759405298,-0.0009682107761894709,0.4715,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,1,0.9811496338095886,0.8465931041576744,0.13455652965191423,0.9815,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,2,0.9390826734910847,0.9321023462391722,0.006980327251912444,0.557,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,3,0.9767841018786017,0.850890859127142,0.12589324275145963,0.975,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,4,0.865719368394288,0.9299865120427813,-0.06426714364849329,0.15,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,5,0.8842664733330304,0.9255504644145632,-0.0412839910815328,0.2735,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,6,0.8717025742921622,0.9091407649235437,-0.03743819063138143,0.314,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,7,0.9864440137002211,0.9211706533269135,0.06527336037330755,0.9745,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,8,0.9590399082560679,0.8959885214471497,0.0630513868089182,0.8645,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,9,0.9432225992969152,0.8759037492296141,0.0673188500673011,0.8105,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,D,R,1,0.9951338169233133,0.9779676477579871,0.017166169165326206,0.9315,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,D,R,2,0.9929334411653106,0.9904741830761213,0.0024592580891892313,0.65,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,D,R,3,0.9945845115831612,0.976859286552139,0.01772522503102214,0.9325,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,D,R,4,0.9736928626136861,0.9902258162527452,-0.016532953639059045,0.0675,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,D,R,5,0.9816273813272616,0.9891561719081927,-0.007528790580931144,0.237,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,D,R,6,0.9816349902208994,0.9877066088474984,-0.006071618626598996,0.303,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,D,R,7,0.9964497989741854,0.9890389181449699,0.007410880829215483,0.909,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,D,R,8,0.9911705648188278,0.9844489553953044,0.0067216094235234,0.7425,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,D,R,9,0.984496773826724,0.9805472248195001,0.003949549007223885,0.612,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,G,R,1,0.9801148666313604,0.8206671298295547,0.15944773680180568,0.989,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,G,R,2,0.9261325887675546,0.913155030890904,0.012977557876650558,0.594,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,G,R,3,0.974815270115154,0.8122064062937886,0.1626088638213654,0.975,1999
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,G,R,4,0.8456512000459997,0.9108862257422409,-0.06523502569624118,0.19,1999
