target_subject,condition,n_source,n_features,scaler_fit_n,model_fit_n,convergence_warning,warning_messages,n_iter_max,status,source_uid_sha256
3,MOV_SENSOR,2304,1012,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",254,PASS,a39f180636b2b43add3b08ee8c110e9ba9feae6f871668f44d900c47a9583b87
3,STATIC_PLUS_LEN,2304,257,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",77,PASS,a39f180636b2b43add3b08ee8c110e9ba9feae6f871668f44d900c47a9583b87
3,STATIC_PLUS_GRAM,2304,263,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",88,PASS,a39f180636b2b43add3b08ee8c110e9ba9feae6f871668f44d900c47a9583b87
3,STATIC_PLUS_SENSOR,2304,1265,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",107,PASS,a39f180636b2b43add3b08ee8c110e9ba9feae6f871668f44d900c47a9583b87
4,STATIC,2304,253,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",87,PASS,af19f4e3a231ab79aaffe5e69434bbc5a32645e114e9ea2013656eda4681b44c
4,MOV_LEN,2304,4,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",10,PASS,af19f4e3a231ab79aaffe5e69434bbc5a32645e114e9ea2013656eda4681b44c
4,MOV_GRAM,2304,10,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",30,PASS,af19f4e3a231ab79aaffe5e69434bbc5a32645e114e9ea2013656eda4681b44c
4,MOV_SENSOR,2304,1012,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",236,PASS,af19f4e3a231ab79aaffe5e69434bbc5a32645e114e9ea2013656eda4681b44c
4,STATIC_PLUS_LEN,2304,257,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",84,PASS,af19f4e3a231ab79aaffe5e69434bbc5a32645e114e9ea2013656eda4681b44c
4,STATIC_PLUS_GRAM,2304,263,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",91,PASS,af19f4e3a231ab79aaffe5e69434bbc5a32645e114e9ea2013656eda4681b44c
